Strain_Host_Check_Dictionary,strain_host_use,HostCategory,Commonname,Species,Order-Family-Genus-Species,Taxonomic_Level,Isolate_Count_Sum
wildbird sula nebouxii,sula nebouxii,wildbird,Blue-footed booby,Sula nebouxii,Suliformes-Sulidae-Sula-Sula nebouxii,Species,2
peruvian booby,peruvian booby,wildbird,Peruvian Booby,Sula variegata,Suliformes-Sulidae-Sula-Sula variegata,Species,15
magpie,magpie,wildbird,NA,NA,Passeriformes-Corvidae-NA-NA,Family,10
pied megpie,pied megpie,wildbird,NA,NA,Passeriformes-Corvidae-NA-NA,Family,1
pelecanus,pelecanus,wildbird,NA,NA,Pelecaniformes-Pelecanidae-Pelecanus-NA,Genus,1
pelican,pelican,wildbird,NA,NA,Pelecaniformes-Pelecanidae-Pelecanus-NA,Genus,50
zoo pelican,pelican,wildbird,NA,NA,Pelecaniformes-Pelecanidae-Pelecanus-NA,Genus,1
swallow,swallow,wildbird,NA,NA,Passeriformes-Hirundinidae-NA-NA,Family,7
spoonbill,spoonbill,wildbird,NA,NA,Pelecaniformes-Threskiornithidae-Platalea-NA,Genus,2
sacred ibis,sacred ibis,wildbird,NA,NA,Pelecaniformes-Threskiornithidae-Threskiornis-NA,Genus,2
flamingo,flamingo,wildbird,NA,NA,Phoenicopteriformes-Phoenicopteridae-Phoenicopterus-NA,Genus,4
bulbul,bulbul,wildbird,NA,NA,Passeriformes-Pycnonotidae-NA-NA,Family,1
starling,starling,wildbird,NA,NA,Passeriformes-Sturnidae-NA-NA,Family,8
fulmar,fulmar,wildbird,NA,NA,Procellariiformes-Procellariidae-Fulmarus-NA,Genus,1
giant petrel,giant petrel,wildbird,NA,NA,Procellariiformes-Procellariidae-Macronectes-NA,Genus,1
egret,egret,wildbird,NA,NA,Pelecaniformes-Ardeidae-NA-NA,Family,15
heron,heron,wildbird,NA,NA,Pelecaniformes-Ardeidae-NA-NA,Family,9
ibis,ibis,wildbird,NA,NA,Pelecaniformes-Threskiornithidae-NA-NA,Family,2
g c grebe,g c grebe,wildbird,NA,NA,Podicipediformes-Podicipedidae-NA-NA,Family,1
grebe,grebe,wildbird,NA,NA,Podicipediformes-Podicipedidae-NA-NA,Family,11
amazon parrot,amazon parrot,wildbird,NA,NA,Psittaciformes-Psittacidae-Amazona-NA,Genus,1
shearwater,shearwater,wildbird,NA,NA,Procellariiformes-Procellariidae-NA-NA,Family,11
catalina macaw,catalina macaw,wildbird,NA,NA,Psittaciformes-Psittacidae-NA-NA,Family,1
penguin,penguin,wildbird,NA,NA,Sphenisciformes-Spheniscidae-NA-NA,Family,1
eagle owl,eagle owl,wildbird,NA,NA,Strigiformes-Strigidae-Bubo-NA,Genus,7
rhea,rhea,wildbird,NA,NA,Struthioniformes-Rheidae-Rhea-NA,Genus,5
ostrich,ostrich,wildbird,NA,NA,Struthioniformes-Struthionidae-Struthio-NA,Genus,127
frigatebird,frigatebird,wildbird,NA,NA,Suliformes-Fregatidae-Fregata-NA,Genus,1
cormorant,cormorant,wildbird,NA,NA,Suliformes-Phalacrocoracidae-NA-NA,Family,16
cormorants,cormorant,wildbird,NA,NA,Suliformes-Phalacrocoracidae-NA-NA,Family,1
shag,shag,wildbird,NA,NA,Suliformes-Phalacrocoracidae-NA-NA,Family,1
phalacrocorax,phalacrocorax,wildbird,NA,NA,Suliformes-Phalacrocoracidae-Phalacrocorax-NA,Genus,4
gannet,gannet,wildbird,NA,NA,Suliformes-Sulidae-Morus-NA,Genus,5
