Strain_Host_Check_Dictionary,strain_host_use,HostCategory,Commonname,Species,Order-Family-Genus-Species,Taxonomic_Level,Isolate_Count_Sum
blach headed gull,black headed gull,wildbird,Black-headed gull,Chroicocephalus ridibundus,Charadriiformes-Laridae-Chroicocephalus-Chroicocephalus ridibundus,Species,2
black headead gull,black headed gull,wildbird,Black-headed gull,Chroicocephalus ridibundus,Charadriiformes-Laridae-Chroicocephalus-Chroicocephalus ridibundus,Species,9
black headed gull,black headed gull,wildbird,Black-headed gull,Chroicocephalus ridibundus,Charadriiformes-Laridae-Chroicocephalus-Chroicocephalus ridibundus,Species,955
blackhead gull,black headed gull,wildbird,Black-headed gull,Chroicocephalus ridibundus,Charadriiformes-Laridae-Chroicocephalus-Chroicocephalus ridibundus,Species,4
chroicocephalus ridibundus,chroicocephalus ridibundus,wildbird,Black-headed gull,Chroicocephalus ridibundus,Charadriiformes-Laridae-Chroicocephalus-Chroicocephalus ridibundus,Species,19
larus ridibundus,larus ridibundus,wildbird,Black-headed gull,Chroicocephalus ridibundus,Charadriiformes-Laridae-Chroicocephalus-Chroicocephalus ridibundus,Species,7
gull billed tern,gull-billed tern,wildbird,Common gull-billed tern,Gelochelidon nilotica,Charadriiformes-Laridae-Gelochelidon-Gelochelidon nilotica,Species,4
larus minutus,larus minutus,wildbird,Little gull,Hydrocoloeus minutus,Charadriiformes-Laridae-Hydrocoloeus-Hydrocoloeus minutus,Species,1
little gull,little gull,wildbird,Little gull,Hydrocoloeus minutus,Charadriiformes-Laridae-Hydrocoloeus-Hydrocoloeus minutus,Species,1
caspian tern,caspian tern,wildbird,Caspian Tern,Hydroprogne caspia,Charadriiformes-Laridae-Hydroprogne-Hydroprogne caspia,Species,13
larus ichthyaetus,larus ichthyaetus,wildbird,Pallas's gull,Ichthyaetus ichthyaetus,Charadriiformes-Laridae-Ichthyaetus-Ichthyaetus ichthyaetus,Species,3
ichtyaetus melanocephalus,ichthyaetus melanocephalus,wildbird,Mediterranean gull,Ichthyaetus melanocephalus,Charadriiformes-Laridae-Ichthyaetus-Ichthyaetus melanocephalus,Species,2
mediterranean gull,mediterranean gull,wildbird,Mediterranean gull,Ichthyaetus melanocephalus,Charadriiformes-Laridae-Ichthyaetus-Ichthyaetus melanocephalus,Species,15
eurasian herring gull,eurasian herring gull,wildbird,European herring gull,Larus argentatus,Charadriiformes-Laridae-Larus-Larus argentatus,Species,1
european herring gull,european herring gull,wildbird,European herring gull,Larus argentatus,Charadriiformes-Laridae-Larus-Larus argentatus,Species,80
larus argentatus,larus argentatus,wildbird,European herring gull,Larus argentatus,Charadriiformes-Laridae-Larus-Larus argentatus,Species,24
armenian gull,armenian gull,wildbird,Armenian gull,Larus armenicus,Charadriiformes-Laridae-Larus-Larus armenicus,Species,3
bandtailed gull,belcher's gull,wildbird,Belcher's gull,Larus belcheri,Charadriiformes-Laridae-Larus-Larus belcheri,Species,2
caspian  gull,caspian gull,wildbird,Caspian gull,Larus cachinnans,Charadriiformes-Laridae-Larus-Larus cachinnans,Species,1
caspian gull,caspian gull,wildbird,Caspian gull,Larus cachinnans,Charadriiformes-Laridae-Larus-Larus cachinnans,Species,12
california gull,california gull,wildbird,California gull,Larus californicus,Charadriiformes-Laridae-Larus-Larus californicus,Species,1
common gull,mew gull,wildbird,Mew gull,Larus canus,Charadriiformes-Laridae-Larus-Larus canus,Species,26
larus canus,larus canus,wildbird,Mew gull,Larus canus,Charadriiformes-Laridae-Larus-Larus canus,Species,2
mew gull,mew gull,wildbird,Mew gull,Larus canus,Charadriiformes-Laridae-Larus-Larus canus,Species,1
black tailed gull,black tailed gull,wildbird,Black-tailed gull,Larus crassirostris,Charadriiformes-Laridae-Larus-Larus crassirostris,Species,2
ring bill gull,ring bill gull,wildbird,Ring-billed gull,Larus delawarensis,Charadriiformes-Laridae-Larus-Larus delawarensis,Species,1
ring billed gull,ring billed gull,wildbird,Ring-billed gull,Larus delawarensis,Charadriiformes-Laridae-Larus-Larus delawarensis,Species,19
kelp gull,kelp gull,wildbird,Kelp gull,Larus dominicanus,Charadriiformes-Laridae-Larus-Larus dominicanus,Species,28
larus fuscus,larus fuscus,wildbird,Lesser black-backed gull,Larus fuscus,Charadriiformes-Laridae-Larus-Larus fuscus,Species,1
lesser black backed gull,lesser black backed gull,wildbird,Lesser black-backed gull,Larus fuscus,Charadriiformes-Laridae-Larus-Larus fuscus,Species,22
glaucous winged gull,glaucous winged gull,wildbird,Glaucous-winged gull,Larus glaucescens,Charadriiformes-Laridae-Larus-Larus glaucescens,Species,180
iceland gull,iceland gull,wildbird,Iceland gull,Larus glaucoides,Charadriiformes-Laridae-Larus-Larus glaucoides,Species,8
glaucous gull,glaucous gull,wildbird,Glaucous gull,Larus hyperboreus,Charadriiformes-Laridae-Larus-Larus hyperboreus,Species,18
great black backed gull,great black backed gull,wildbird,Great black-backed gull,Larus marinus,Charadriiformes-Laridae-Larus-Larus marinus,Species,43
great black headed gull,great black headed gull,wildbird,Great black-backed gull,Larus marinus,Charadriiformes-Laridae-Larus-Larus marinus,Species,29
larus michahellis,larus michahellis,wildbird,Yellow-legged gull,Larus michahellis,Charadriiformes-Laridae-Larus-Larus michahellis,Species,1
yellow legged gull,yellow legged gull,wildbird,Yellow-legged gull,Larus michahellis,Charadriiformes-Laridae-Larus-Larus michahellis,Species,19
western gull,western gull,wildbird,Western gull,Larus occidentalis,Charadriiformes-Laridae-Larus-Larus occidentalis,Species,2
slaty backed gull,slaty backed gull,wildbird,Slaty-backed gull,Larus schistisagus,Charadriiformes-Laridae-Larus-Larus schistisagus,Species,9
american herring gull,american herring gull,wildbird,American herring gull,Larus smithsonianus,Charadriiformes-Laridae-Larus-Larus smithsonianus,Species,6
mongolian gull,mongolian gull,wildbird,Vega gull,Larus vegae,Charadriiformes-Laridae-Larus-Larus vegae,Species,2
black backed gull,black backed gull,wildbird,NA,NA,Charadriiformes-Laridae-Larus-NA,Genus,3
hering gull,herring gull,wildbird,NA,NA,Charadriiformes-Laridae-Larus-NA,Genus,1
herring gull,herring gull,wildbird,NA,NA,Charadriiformes-Laridae-Larus-NA,Genus,140
laughing gull,laughing gull,wildbird,Laughing gull,Leucophaeus atricilla,Charadriiformes-Laridae-Leucophaeus-Leucophaeus atricilla,Species,120
gray gull,gray gull,wildbird,Gray gull,Leucophaeus modestus,Charadriiformes-Laridae-Leucophaeus-Leucophaeus modestus,Species,4
franklin's gull,franklin's gull,wildbird,Franklin's gull,Leucophaeus pipixcan,Charadriiformes-Laridae-Leucophaeus-Leucophaeus pipixcan,Species,3
dolphin gull,dolphin gull,wildbird,Dolphin gull,Leucophaeus scoresbii,Charadriiformes-Laridae-Leucophaeus-Leucophaeus scoresbii,Species,1
blue goose,blue goose,wildbird,NA,NA,Anseriformes-Anatidae-NA-NA,Family,1
european teal,european teal,wildbird,NA,NA,Anseriformes-Anatidae-NA-NA,Family,19
gadwall duck,gadwall duck,wildbird,Gadwall,Mareca strepera,Anseriformes-Anatidae-Mareca-Mareca strepera,Species,11
pochard,pochard,wildbird,NA,NA,Anseriformes-Anatidae-NA-NA,Family,15
gadwell duck,gadwell duck,wildbird,Gadwall,Mareca strepera,Anseriformes-Anatidae-Mareca-Mareca strepera,Species,1
teal,teal,wildbird,NA,NA,Anseriformes-Anatidae-NA-NA,Family,182
wild swan,wild swan,wildbird,NA,NA,Anseriformes-Anatidae-NA-NA,Family,2
rb pochard,rb pochard,wildbird,NA,NA,Anseriformes-Anatidae-NA-NA,Family,1
swiftlet,swiftlet,wildbird,NA,NA,Caprimulgiformes-Apodidae-NA-NA,Family,1
sooty tern,sooty tern,wildbird,Sooty tern,Onychoprion fuscatus,Charadriiformes-Laridae-Onychoprion-Onychoprion fuscatus,Species,2
kittiwake,kittiwake,wildbird,NA,NA,Charadriiformes-Laridae-Rissa-NA,Genus,10
black legged kittiwake,black legged kittiwake,wildbird,Black-legged kittiwake,Rissa tridactyla,Charadriiformes-Laridae-Rissa-Rissa tridactyla,Species,7
black legged kittywake,black legged kittiwake,wildbird,Black-legged kittiwake,Rissa tridactyla,Charadriiformes-Laridae-Rissa-Rissa tridactyla,Species,1
rissa tridactyla,rissa tridactyla,wildbird,Black-legged kittiwake,Rissa tridactyla,Charadriiformes-Laridae-Rissa-Rissa tridactyla,Species,1
black skimmer,black skimmer,wildbird,Black skimmer,Rynchops niger,Charadriiformes-Laridae-Rynchops-Rynchops niger,Species,12
south american tern,south american tern,wildbird,south american tern,Sterna hirundinacea,Charadriiformes-Laridae-Sterna-Sterna hirundinacea,Species,1
common tern,common tern,wildbird,Common tern,Sterna hirundo,Charadriiformes-Laridae-Sterna-Sterna hirundo,Species,117
sterna hirundo,sterna hirundo,wildbird,Common tern,Sterna hirundo,Charadriiformes-Laridae-Sterna-Sterna hirundo,Species,4
arctic tern,arctic tern,wildbird,Arctic tern,Sterna paradisaea,Charadriiformes-Laridae-Sterna-Sterna paradisaea,Species,6
artic tern,artic tern,wildbird,Arctic tern,Sterna paradisaea,Charadriiformes-Laridae-Sterna-Sterna paradisaea,Species,2
little tern,little tern,wildbird,Little tern,Sternula albifrons,Charadriiformes-Laridae-Sternula-Sternula albifrons,Species,5
thalasseus acuflavidus,thalasseus acuflavidus,wildbird,Cabot's Tern,Thalasseus acuflavidus,Charadriiformes-Laridae-Thalasseus-Thalasseus acuflavidus,Species,2
elegant tern,elegant tern,wildbird,Elegant tern,Thalasseus elegans,Charadriiformes-Laridae-Thalasseus-Thalasseus elegans,Species,2
thalasseus maximus,thalasseus maximus,wildbird,Royal Tern,Thalasseus maximus,Charadriiformes-Laridae-Thalasseus-Thalasseus maximus,Species,2
sandwich tern,sandwich tern,wildbird,Sandwich tern,Thalasseus sandvicensis,Charadriiformes-Laridae-Thalasseus-Thalasseus sandvicensis,Species,61
thalasseus sandvicensis,thalasseus sandvicensis,wildbird,Sandwich tern,Thalasseus sandvicensis,Charadriiformes-Laridae-Thalasseus-Thalasseus sandvicensis,Species,2
sabines gull,sabines gull,wildbird,Sabine's gull,Xema sabini,Charadriiformes-Laridae-Xema-Xema sabini,Species,1
condor,condor,wildbird,NA,NA,Cathartiformes-Cathartidae-NA-NA,Family,1
common guillemot,common guillemot,wildbird,NA,NA,Charadriiformes-Alcidae-NA-NA,Family,5
white backed stilt,white backed stilt,wildbird,White-backed stilt,Himantopus melanurus,Charadriiformes-Recurvirostridae-Himantopus-Himantopus melanurus,Species,2
black necked stilt,black necked stilt,wildbird,Black-necked stilt,Himantopus mexicanus,Charadriiformes-Recurvirostridae-Himantopus-Himantopus mexicanus,Species,4
pied avocet,pied avocet,wildbird,Pied avocet,Recurvirostra avosetta,Charadriiformes-Recurvirostridae-Recurvirostra-Recurvirostra avosetta,Species,1
arenaria interpres,arenaria interpres,wildbird,Ruddy turnstone,Arenaria interpres,Charadriiformes-Scolopacidae-Arenaria-Arenaria interpres,Species,8
ruddy turnstone,ruddy turnstone,wildbird,Ruddy turnstone,Arenaria interpres,Charadriiformes-Scolopacidae-Arenaria-Arenaria interpres,Species,1845
ruddy turnstons,ruddy turnstons,wildbird,Ruddy turnstone,Arenaria interpres,Charadriiformes-Scolopacidae-Arenaria-Arenaria interpres,Species,1
ruddyturnstone,ruddyturnstone,wildbird,Ruddy turnstone,Arenaria interpres,Charadriiformes-Scolopacidae-Arenaria-Arenaria interpres,Species,5
turnstone,turnstone,wildbird,NA,NA,Charadriiformes-Scolopacidae-Arenaria-NA,Genus,6
sharp tailed sandpiper,sharp tailed sandpiper,wildbird,Sharp-tailed sandpiper,Calidris acuminata,Charadriiformes-Scolopacidae-Calidris-Calidris acuminata,Species,7
sanderling,sanderling,wildbird,Sanderling,Calidris alba,Charadriiformes-Scolopacidae-Calidris-Calidris alba,Species,93
dunlin,dunlin,wildbird,Dunlin,Calidris alpina,Charadriiformes-Scolopacidae-Calidris-Calidris alpina,Species,24
red knot,red knot,wildbird,Red knot,Calidris canutus,Charadriiformes-Scolopacidae-Calidris-Calidris canutus,Species,93
redknot,redknot,wildbird,Red knot,Calidris canutus,Charadriiformes-Scolopacidae-Calidris-Calidris canutus,Species,2
curlew sandpiper,curlew sandpiper,wildbird,Curlew sandpiper,Calidris ferruginea,Charadriiformes-Scolopacidae-Calidris-Calidris ferruginea,Species,1
white rumped sandpiper,white rumped sandpiper,wildbird,White-rumped sandpiper,Calidris fuscicollis,Charadriiformes-Scolopacidae-Calidris-Calidris fuscicollis,Species,9
western sandpiper,western sandpiper,wildbird,Western sandpiper,Calidris mauri,Charadriiformes-Scolopacidae-Calidris-Calidris mauri,Species,1
least sandpiper,least sandpiper,wildbird,Least sandpiper,Calidris minutilla,Charadriiformes-Scolopacidae-Calidris-Calidris minutilla,Species,10
semi palmated sandpiper,semi palmated sandpiper,wildbird,Semipalmated sandpiper,Calidris pusilla,Charadriiformes-Scolopacidae-Calidris-Calidris pusilla,Species,7
semipalmated sandpiper,semipalmated sandpiper,wildbird,Semipalmated sandpiper,Calidris pusilla,Charadriiformes-Scolopacidae-Calidris-Calidris pusilla,Species,28
calidris ruficollis,calidris ruficollis,wildbird,Red-necked stint,Calidris ruficollis,Charadriiformes-Scolopacidae-Calidris-Calidris ruficollis,Species,14
red necked stint,red necked stint,wildbird,Red-necked stint,Calidris ruficollis,Charadriiformes-Scolopacidae-Calidris-Calidris ruficollis,Species,24
rufous necked stint,rufous necked stint,wildbird,Red-necked stint,Calidris ruficollis,Charadriiformes-Scolopacidae-Calidris-Calidris ruficollis,Species,5
knot,knot,wildbird,NA,NA,Charadriiformes-Scolopacidae-Calidris-NA,Genus,7
knot wader,knot wader,wildbird,NA,NA,Charadriiformes-Scolopacidae-Calidris-NA,Genus,2
common snipe,common snipe,wildbird,Common snipe,Gallinago gallinago,Charadriiformes-Scolopacidae-Gallinago-Gallinago gallinago,Species,2
short billed dowitcher,short-billed dowitcher,wildbird,Short-billed Dowitcher,Limnodromus griseus,Charadriiformes-Scolopacidae-Limnodromus-Limnodromus griseus,Species,1
bar tailed godwit,bar tailed godwit,wildbird,Bar-tailed godwit,Limosa lapponica,Charadriiformes-Scolopacidae-Limosa-Limosa lapponica,Species,2
black tailed godwit,black tailed godwit,wildbird,Black tailed godwit,Limosa limosa,Charadriiformes-Scolopacidae-Limosa-Limosa limosa,Species,1
lesser auk,lesser auk,wildbird,NA,NA,Charadriiformes-Alcidae-NA-NA,Family,1
c gull,c gull,wildbird,NA,NA,Charadriiformes-Laridae-NA-NA,Family,1
curlew,curlew,wildbird,NA,NA,Charadriiformes-Scolopacidae-Numenius-NA,Genus,4
eurasian curlew,eurasian curlew,wildbird,Eurasian curlew,Numenius arquata,Charadriiformes-Scolopacidae-Numenius-Numenius arquata,Species,22
numenius arquata,numenius arquata,wildbird,Eurasian curlew,Numenius arquata,Charadriiformes-Scolopacidae-Numenius-Numenius arquata,Species,3
eastern curlew,eastern curlew,wildbird,Far eastern curlew,Numenius madagascariensis,Charadriiformes-Scolopacidae-Numenius-Numenius madagascariensis,Species,7
little curlew,little curlew,wildbird,Little curlew,Numenius minutus,Charadriiformes-Scolopacidae-Numenius-Numenius minutus,Species,1
whimbrel,whimbrel,wildbird,Whimbrel,Numenius phaeopus,Charadriiformes-Scolopacidae-Numenius-Numenius phaeopus,Species,12
eurasian woodcock,eurasian woodcock,wildbird,Eurasian woodcock,Scolopax rusticola,Charadriiformes-Scolopacidae-Scolopax-Scolopax rusticola,Species,1
wood sandpiper,wood sandpiper,wildbird,Wood sandpiper,Tringa glareola,Charadriiformes-Scolopacidae-Tringa-Tringa glareola,Species,1
green sandpiper,green sandpiper,wildbird,Green sandpiper,Tringa ochropus,Charadriiformes-Scolopacidae-Tringa-Tringa ochropus,Species,5
willet,willet,wildbird,Willet,Tringa semipalmata,Charadriiformes-Scolopacidae-Tringa-Tringa semipalmata,Species,2
common redshank,common redshank,wildbird,Common redshank,Tringa totanus,Charadriiformes-Scolopacidae-Tringa-Tringa totanus,Species,4
brown skua,brown skua,wildbird,Brown skua,Stercorarius antarcticus,Charadriiformes-Stercorariidae-Stercorarius-Stercorarius antarcticus,Species,4
long tailed skua,long tailed skua,wildbird,Long-tailed jaeger,Stercorarius longicaudus,Charadriiformes-Stercorariidae-Stercorarius-Stercorarius longicaudus,Species,1
parasitic jaeger,parasitic jaeger,wildbird,Parasitic jaeger,Stercorarius parasiticus,Charadriiformes-Stercorariidae-Stercorarius-Stercorarius parasiticus,Species,2
great skua,great skua,wildbird,Great skua,Stercorarius skua,Charadriiformes-Stercorariidae-Stercorarius-Stercorarius skua,Species,4
open bill,open bill,wildbird,NA,NA,Ciconiiformes-Ciconiidae-Anastomus-NA,Genus,1
open bill ibis,open bill ibis,wildbird,NA,NA,Ciconiiformes-Ciconiidae-Anastomus-NA,Genus,1
open bill stork,open bill stork,wildbird,NA,NA,Ciconiiformes-Ciconiidae-Anastomus-NA,Genus,5
open billed stork,open billed stork,wildbird,NA,NA,Ciconiiformes-Ciconiidae-Anastomus-NA,Genus,31
openbill,openbill,wildbird,NA,NA,Ciconiiformes-Ciconiidae-Anastomus-NA,Genus,1
openbill stork,openbill stork,wildbird,NA,NA,Ciconiiformes-Ciconiidae-Anastomus-NA,Genus,7
oriental white stork,oriental white stork,wildbird,Oriental stork,Ciconia boyciana,Ciconiiformes-Ciconiidae-Ciconia-Ciconia boyciana,Species,1
ciconia ciconia,ciconia ciconia,wildbird,White stork,Ciconia ciconia,Ciconiiformes-Ciconiidae-Ciconia-Ciconia ciconia,Species,8
white stork,white stork,wildbird,White stork,Ciconia ciconia,Ciconiiformes-Ciconiidae-Ciconia-Ciconia ciconia,Species,17
marabou stork,marabou stork,wildbird,Marabou,Leptoptilos crumenifer,Ciconiiformes-Ciconiidae-Leptoptilos-Leptoptilos crumenifer,Species,1
painted stork,painted stork,wildbird,Painted stork,Mycteria leucocephala,Ciconiiformes-Ciconiidae-Mycteria-Mycteria leucocephala,Species,1
gull,gull,wildbird,NA,NA,Charadriiformes-Laridae-NA-NA,Family,143
speckled pigeon,speckled pigeon,wildbird,Speckled pigeon,Columba guinea,Columbiformes-Columbidae-Columba-Columba guinea,Species,1
rock dove,rock dove,wildbird,Rock dove,Columba livia,Columbiformes-Columbidae-Columba-Columba livia,Species,2
rock pigeon,rock pigeon,wildbird,Rock dove,Columba livia,Columbiformes-Columbidae-Columba-Columba livia,Species,1
columba palumbus,Wood pigeon,wildbird,Wood pigeon,Columba palumbus,Columbiformes-Columbidae-Columba-Columba palumbus,Species,2
peaceful dove,peaceful dove,wildbird,Peaceful dove,Geopelia placida,Columbiformes-Columbidae-Geopelia-Geopelia placida,Species,4
little cuckoo dove,little cuckoo dove,wildbird,Lesser red cuckoo dove,Macropygia ruficeps,Columbiformes-Columbidae-Macropygia-Macropygia ruficeps,Species,1
gull1,gull,wildbird,NA,NA,Charadriiformes-Laridae-NA-NA,Family,1
gull10,gull,wildbird,NA,NA,Charadriiformes-Laridae-NA-NA,Family,1
l bl ba gull,l bl ba gull,wildbird,NA,NA,Charadriiformes-Laridae-NA-NA,Family,1
laridae,laridae,wildbird,NA,NA,Charadriiformes-Laridae-NA-NA,Family,1
sea gull,sea gull,wildbird,NA,NA,Charadriiformes-Laridae-NA-NA,Family,1
seagull,seagull,wildbird,NA,NA,Charadriiformes-Laridae-NA-NA,Family,17
spotted dove,spotted dove,wildbird,Spotted dove,Spilopelia chinensis,Columbiformes-Columbidae-Spilopelia-Spilopelia chinensis,Species,1
streptopelia decaocto,streptopelia decaocto,wildbird,Eurasian collared dove,Streptopelia decaocto,Columbiformes-Columbidae-Streptopelia-Streptopelia decaocto,Species,11
tern,tern,wildbird,NA,NA,Charadriiformes-Laridae-NA-NA,Family,16
european bee eater,european bee eater,wildbird,Common bee eater,Merops apiaster,Coraciiformes-Meropidae-Merops-Merops apiaster,Species,1
saker falcon,saker falcon,wildbird,Saker falcon,Falco cherrug,Falconiformes-Falconidae-Falco-Falco cherrug,Species,1
lesser kestrel,lesser kestrel,wildbird,Lesser kestrel,Falco naumanni,Falconiformes-Falconidae-Falco-Falco naumanni,Species,1
falco peregrinus,falco peregrinus,wildbird,Peregrine falcon,Falco peregrinus,Falconiformes-Falconidae-Falco-Falco peregrinus,Species,15
peregrine,peregrine,wildbird,Peregrine falcon,Falco peregrinus,Falconiformes-Falconidae-Falco-Falco peregrinus,Species,2
peregrine falcon,peregrine falcon,wildbird,Peregrine falcon,Falco peregrinus,Falconiformes-Falconidae-Falco-Falco peregrinus,Species,113
perigrine falcon,perigrine falcon,wildbird,Peregrine falcon,Falco peregrinus,Falconiformes-Falconidae-Falco-Falco peregrinus,Species,1
pilgrim falcon,Peregrine Falcon,wildbird,Peregrine Falcon,Falco peregrinus,Falconiformes-Falconidae-Falco-Falco peregrinus,Species,1
gyrfalcon,gyrfalcon,wildbird,Gyr falcon,Falco rusticolus,Falconiformes-Falconidae-Falco-Falco rusticolus,Species,3
common kestel,common kestrel,wildbird,Common kestrel,Falco tinnunculus,Falconiformes-Falconidae-Falco-Falco tinnunculus,Species,1
common kestral,common kestrel,wildbird,Common kestrel,Falco tinnunculus,Falconiformes-Falconidae-Falco-Falco tinnunculus,Species,1
common kestrel,common kestrel,wildbird,Common kestrel,Falco tinnunculus,Falconiformes-Falconidae-Falco-Falco tinnunculus,Species,7
common ketrel,common kestrel,wildbird,Common kestrel,Falco tinnunculus,Falconiformes-Falconidae-Falco-Falco tinnunculus,Species,1
falco tinnunculus,falco tinnunculus,wildbird,Common kestrel,Falco tinnunculus,Falconiformes-Falconidae-Falco-Falco tinnunculus,Species,1
kestrel,kestrel,wildbird,NA,NA,Falconiformes-Falconidae-Falco-NA,Genus,3
sandpiper,sandpiper,wildbird,NA,NA,Charadriiformes-Scolopacidae-NA-NA,Family,10
snipe,snipe,wildbird,NA,NA,Charadriiformes-Scolopacidae-NA-NA,Family,2
stork,stork,wildbird,NA,NA,Ciconiiformes-Ciconiidae-NA-NA,Family,7
feral pigeon,feral pigeon,wildbird,NA,NA,Columbiformes-Columbidae-NA-NA,Family,2
chimango caracara,chimango caracara,wildbird,Chimango Caracara,Phalcoboenus chimango,Falconiformes-Falconidae-Phalcoboenus-Phalcoboenus chimango,Species,1
ortalis vetula,ortalis vetula,wildbird,Plain Chachalaca,Ortalis vetula,Galliformes-Cracidae-Ortalis-Ortalis vetula,Species,15
australian brushturkey,australian brushturkey,wildbird,Brush turkey,Alectura lathami,Galliformes-Megapodiidae-Alectura-Alectura lathami,Species,1
holland pigeon,holland pigeon,wildbird,NA,NA,Columbiformes-Columbidae-NA-NA,Family,1
homing pigeon,homing pigeon,wildbird,NA,NA,Columbiformes-Columbidae-NA-NA,Family,1
turtle dove,turtle dove,wildbird,NA,NA,Columbiformes-Columbidae-NA-NA,Family,1
turtledove,turtledove,wildbird,NA,NA,Columbiformes-Columbidae-NA-NA,Family,9
wild pigeon,wild pigeon,wildbird,NA,NA,Columbiformes-Columbidae-NA-NA,Family,2
rollers,rollers,wildbird,NA,NA,Coraciiformes-Coraciidae-NA-NA,Family,1
caracara,caracara,wildbird,NA,NA,Falconiformes-Falconidae-NA-NA,Family,1
helmeted guineafowl,helmeted guineafowl,wildbird,Helmeted guineafowl,Numida meleagris,Galliformes-Numididae-Numida-Numida meleagris,Species,3
numida meleagris,numida meleagris,wildbird,Helmeted guineafowl,Numida meleagris,Galliformes-Numididae-Numida-Numida meleagris,Species,2
chuckar,chukar partridge,wildbird,Chuckar partridge,Alectoris chukar,Galliformes-Phasianidae-Alectoris-Alectoris chukar,Species,1
chukar,chukar partridge,wildbird,Chuckar partridge,Alectoris chukar,Galliformes-Phasianidae-Alectoris-Alectoris chukar,Species,5
chukka,chukar partridge,wildbird,Chuckar partridge,Alectoris chukar,Galliformes-Phasianidae-Alectoris-Alectoris chukar,Species,2
chukkar,chukar partridge,wildbird,Chuckar partridge,Alectoris chukar,Galliformes-Phasianidae-Alectoris-Alectoris chukar,Species,49
lady amherst's pheasant,lady amherst's pheasant,wildbird,Lady amherst's pheasant,Chrysolophus amherstiae,Galliformes-Phasianidae-Chrysolophus-Chrysolophus amherstiae,Species,1
golden pheasant,golden pheasant,wildbird,Golden pheasant,Chrysolophus pictus,Galliformes-Phasianidae-Chrysolophus-Chrysolophus pictus,Species,1
common quail,common quail,wildbird,Common quail,Coturnix coturnix,Galliformes-Phasianidae-Coturnix-Coturnix coturnix,Species,2
japanese quail,japanese quail,wildbird,Japanese quail,Coturnix japonica,Galliformes-Phasianidae-Coturnix-Coturnix japonica,Species,3
chinese francolin,chinese francolin,wildbird,Chinese francolin,Francolinus pintadeanus,Galliformes-Phasianidae-Francolinus-Francolinus pintadeanus,Species,1
kalij pheasant,kalij pheasant,wildbird,Kalij pheasant,Lophura leucomelanos,Galliformes-Phasianidae-Lophura-Lophura leucomelanos,Species,2
kalji pheasant,kalji pheasant,wildbird,Kalij pheasant,Lophura leucomelanos,Galliformes-Phasianidae-Lophura-Lophura leucomelanos,Species,2
silver pheasant,silver pheasant,wildbird,Silver pheasant,Lophura nycthemera,Galliformes-Phasianidae-Lophura-Lophura nycthemera,Species,3
wild turkey,wild turkey,wildbird,Wild turkey,Meleagris gallopavo,Galliformes-Phasianidae-Meleagris-Meleagris gallopavo,Species,1
falcon,falcon,wildbird,NA,NA,Falconiformes-Falconidae-NA-NA,Family,23
hobby falcon,hobby falcon,wildbird,NA,NA,Falconiformes-Falconidae-NA-NA,Family,1
p falcon,p falcon,wildbird,NA,NA,Falconiformes-Falconidae-NA-NA,Family,1
giuineafowl,Guineafowl,wildbird,NA,NA,Galliformes-Numididae-NA-NA,Family,1
guinea,guinea,wildbird,NA,NA,Galliformes-Numididae-NA-NA,Family,1
guinea fowl,guinea fowl,wildbird,NA,NA,Galliformes-Numididae-NA-NA,Family,163
common peacock,common peacock,wildbird,Indian Peafowl,Pavo cristatus,Galliformes-Phasianidae-Pavo-Pavo cristatus,Species,1
indian peafowl,indian peafowl,wildbird,Indian peafowl,Pavo cristatus,Galliformes-Phasianidae-Pavo-Pavo cristatus,Species,1
pavo cristatus,pavo cristatus,wildbird,Indian peafowl,Pavo cristatus,Galliformes-Phasianidae-Pavo-Pavo cristatus,Species,5
white peacock,white peacock,wildbird,Indian peafowl,Pavo cristatus,Galliformes-Phasianidae-Pavo-Pavo cristatus,Species,1
white peafowl,white peafowl,wildbird,Indian peafowl,Pavo cristatus,Galliformes-Phasianidae-Pavo-Pavo cristatus,Species,4
green peafowl,green peafowl,wildbird,Green peafowl,Pavo muticus,Galliformes-Phasianidae-Pavo-Pavo muticus,Species,1
perdix perdix,perdix perdix,wildbird,Grey partridge,Perdix perdix,Galliformes-Phasianidae-Perdix-Perdix perdix,Species,1
chinese ringneck pheasant,common pheasant,wildbird,Common pheasant,Phasianus colchicus,Galliformes-Phasianidae-Phasianus-Phasianus colchicus,Species,2
common pheasant,common pheasant,wildbird,Common pheasant,Phasianus colchicus,Galliformes-Phasianidae-Phasianus-Phasianus colchicus,Species,9
phasianus colchicus,phasianus colchicus,wildbird,Common pheasant,Phasianus colchicus,Galliformes-Phasianidae-Phasianus-Phasianus colchicus,Species,7
green pheasant,green pheasant,wildbird,Green pheasant,Phasianus versicolor,Galliformes-Phasianidae-Phasianus-Phasianus versicolor,Species,1
white naped crane,white naped crane,wildbird,white-naped crane,Antigone vipio,Gruiformes-Gruidae-Antigone-Antigone vipio,Species,3
gray crowed crane,gray crowed crane,wildbird,Grey crowned crane,Balearica regulorum,Gruiformes-Gruidae-Balearica-Balearica regulorum,Species,2
crowned crane zoo,crowned crane,wildbird,NA,NA,Gruiformes-Gruidae-Balearica-NA,Genus,1
common crane,common crane,wildbird,Common crane,Grus grus,Gruiformes-Gruidae-Grus-Grus grus,Species,11
